Season,Pick,Projected FFP,Pos,Player,Team
2023,104,146,WR,Quentin Johnston,LAC
2023,105,133,WR,JuJu Smith-Schuster,NE
2023,106,145,WR,Jakobi Meyers,LV
2023,108,147,WR,Treylon Burks,TEN
2023,109,153,WR,Courtland Sutton,DEN
2023,111,116,WR,Kadarius Toney,KC
2023,113,119,WR,Elijah Moore,CLE
2023,118,169,WR,Skyy Moore,KC
2023,130,147,WR,Adam Thielen,CAR
2023,134,137,WR,Odell Beckham,BAL
2023,138,97,WR,Jameson Williams,DET
2023,142,163,WR,Allen Lazard,NYJ
2023,151,96,WR,Darnell Mooney,CHI
2023,153,139,WR,Tyler Boyd,CIN
2023,160,129,WR,Marvin Mims,DEN
2023,161,39,WR,Jalin Hyatt,NYG
2023,162,150,WR,Zay Jones,JAX
2023,164,96,WR,Rashod Bateman,BAL
2023,166,147,WR,Jonathan Mingo,CAR
2023,172,57,WR,Rashee Rice,KC
2023,185,115,WR,Nico Collins,HOU
2023,191,130,WR,Van Jefferson,LAR
2023,193,119,WR,Jayden Reed,GB
2023,194,113,WR,DJ Chark,CAR
2023,195,129,WR,Curtis Samuel,WAS
2023,139,115,DST,49ers,SF
2023,159,120,DST,Jets,NYJ
2023,165,123,DST,Cowboys,DAL
2023,168,116,DST,Commanders,WAS
2023,171,123,DST,Eagles,PHI
2023,173,108,DST,Patriots,NE
2023,174,116,DST,Steelers,PIT
2023,175,113,DST,Seahawks,SEA
2023,179,113,DST,Saints,NO
2023,180,105,DST,Titans,TEN
2023,182,117,DST,Buccaneers,TB
2023,188,118,DST,Giants,NYG
2023,189,117,DST,Chargers,LAC
2023,133,103,K,Younghoe Koo,ATL
2023,135,111,K,Justin Tucker,BAL
2023,136,107,K,Evan McPherson,CIN
2023,141,105,K,Harrison Butker,KC
2023,143,104,K,Daniel Carlson,LV
2023,144,93,K,Jake Elliott,PHI
2023,147,109,K,Tyler Bass,BUF
2023,152,88,K,Jake Moody,SF
2023,154,99,K,Jason Sanders,MIA
2023,158,92,K,Jason Myers,SEA
2023,170,95,K,Riley Patterson,DET
2023,177,90,K,Cameron Dicker,LAC
2023,184,90,K,Brandon McManus,JAX
2023,187,98,K,Graham Gano,NYG
