Season,Pos,Player,Team,GP,P Yds,P Comp,P TD,INT,Ru Yds,Ru TD,Rec,Rec Yds,Rec TD,Actual FFP,Projected FFP,Diff Perc,Top Prospect,Bottom Prospect,Pos Tier,Pos Prospect Mean Diff,Pos Prospect SD
2023,TE,Julian Hill,MIA,15,,,,,,,6,48,,8,32,-75%,FALSE,TRUE,TE3,30%,122%
2023,TE,Luke Schoonmaker,DAL,17,,,,,,,8,65,2,23,31,-28%,FALSE,TRUE,TE3,30%,122%
2023,TE,Trevon Wesco,TEN,15,,,,,,,1,21,,3,31,-92%,FALSE,TRUE,TE3,30%,122%
2023,TE,James Mitchell,DET,15,,,,,,,2,28,,4,29,-87%,FALSE,TRUE,TE3,30%,122%
2023,TE,Peyton Hendershot,DAL,8,,,,,,,4,38,,6,29,-80%,FALSE,TRUE,TE3,30%,122%
2023,TE,Brenton Strange,JAC,14,,,,,,,5,35,1,12,28,-57%,FALSE,TRUE,TE3,30%,122%
2023,TE,Connor Heyward,PIT,17,,,,,,,23,167,,28,25,15%,FALSE,TRUE,TE3,30%,122%
2023,TE,Daniel Bellinger,NYG,17,,,,,,,25,255,,38,24,60%,FALSE,TRUE,TE3,30%,122%
2023,TE,Noah Gray,KC,17,,,,,,,28,305,2,57,24,138%,FALSE,TRUE,TE3,30%,122%
2023,TE,Robert Tonyan,CHI,17,,,,,,,11,112,,17,23,-27%,FALSE,TRUE,TE3,30%,122%
2023,TE,Jordan Akins,CLE,17,,,,,,,15,132,,21,23,-10%,FALSE,TRUE,TE3,30%,122%
2023,TE,Harrison Bryant,LV,17,,,,,,,13,81,3,33,22,45%,FALSE,TRUE,TE3,30%,122%
2023,TE,Drew Sample,CIN,17,,,,,,,22,163,2,39,22,77%,FALSE,TRUE,TE3,30%,122%
2023,TE,Ross Dwelley,SF,12,,,,,,,1,12,,2,21,-92%,FALSE,TRUE,TE3,30%,122%
2023,TE,Tommy Tremble,CAR,16,,,,,,,23,194,3,49,21,132%,FALSE,TRUE,TE3,30%,122%
2023,TE,Ko Kieft,TB,16,,,,,,,1,2,1,7,21,-68%,FALSE,TRUE,TE3,30%,122%
2023,TE,Brock Wright,DET,14,,,,,,,13,91,1,22,20,6%,FALSE,TRUE,TE3,30%,122%
2023,TE,Grant Calcaterra,PHI,15,,,,,,,4,39,,6,17,-66%,FALSE,TRUE,TE3,30%,122%
2023,TE,Chris Manhertz,NYG,16,,,,,,,2,16,,3,17,-85%,FALSE,TRUE,TE3,30%,122%
2023,TE,Josh Whyle,TEN,11,,,,,,,9,94,1,20,17,19%,FALSE,TRUE,TE3,30%,122%
2023,TE,Johnny Mundt,MIN,17,,,,,,,17,172,1,32,16,93%,FALSE,TRUE,TE3,30%,122%
2023,TE,Jeremy Ruckert,NYJ,15,,,,,,,16,151,,23,16,44%,FALSE,TRUE,TE3,30%,122%
2023,TE,Jack Stoll,NYG,17,,,,,,,5,38,,6,15,-59%,FALSE,TRUE,TE3,30%,122%
2023,TE,Darnell Washington,PIT,17,,,,,,,7,61,,10,14,-33%,FALSE,TRUE,TE3,30%,122%
2023,TE,Mitchell Wilcox,NE,17,,,,,,,9,56,,10,14,-28%,FALSE,TRUE,TE3,30%,122%
2023,TE,Foster Moreau,NO,15,,,,,,,21,193,1,36,14,160%,FALSE,TRUE,TE3,30%,122%
2023,TE,MyCole Pruitt,PIT,17,,,,,,,9,110,1,22,12,81%,FALSE,TRUE,TE3,30%,122%
2023,TE,Josiah Deguara,JAC,15,,,,,,,8,65,,11,12,-12%,FALSE,TRUE,TE3,30%,122%
2023,TE,Ian Thomas,CAR,12,,,,,,,5,56,,8,12,-32%,FALSE,TRUE,TE3,30%,122%
2023,TE,Charlie Woerner,ATL,17,,,,,,,3,32,,5,12,-60%,FALSE,TRUE,TE3,30%,122%
2023,TE,Brycen Hopkins,LA,15,,,,,,,5,78,,10,11,-3%,FALSE,TRUE,TE3,30%,122%
2023,TE,Brevin Jordan,HOU,14,,,,,,,17,219,2,42,10,332%,FALSE,TRUE,TE3,30%,122%
2023,TE,Quintin Morris,BUF,15,,,,,,,2,26,1,10,9,4%,FALSE,TRUE,TE3,30%,122%
2023,TE,John Bates,WAS,17,,,,,,,19,151,,25,9,176%,FALSE,TRUE,TE3,30%,122%
2023,TE,Colby Parkinson,LA,17,,,,,,,25,247,2,49,8,504%,FALSE,TRUE,TE3,30%,122%
2023,TE,Josh Oliver,MIN,17,,,,,,,22,213,2,44,8,457%,FALSE,TRUE,TE3,30%,122%
2023,TE,Charlie Kolar,BAL,15,,,,,,,7,87,1,18,8,134%,FALSE,TRUE,TE3,30%,122%
2023,TE,Payne Durham,TB,13,,,,,,,5,58,,8,8,11%,FALSE,TRUE,TE3,30%,122%
2023,TE,Luke Farrell,JAC,17,,,,,,,13,155,,22,6,240%,FALSE,TRUE,TE3,30%,122%
2023,RB,De'Von Achane,MIA,11,,,,,800,8,27,197,3,179,125,43%,FALSE,TRUE,RB3,16%,123%
2023,RB,Deuce Vaughn,DAL,7,,,,,40,,7,40,,12,122,-91%,FALSE,TRUE,RB3,16%,123%
2023,RB,Rashaad Penny,CAR,3,,,,,33,,1,5,,4,116,-96%,FALSE,TRUE,RB3,16%,123%
2023,RB,Keaontay Ingram,KC,8,,,,,74,,4,26,,12,114,-90%,FALSE,TRUE,RB3,16%,123%
2023,RB,Roschon Johnson,CHI,15,,,,,352,2,34,209,,85,113,-25%,FALSE,TRUE,RB3,16%,123%
2023,RB,Tank Bigsby,JAC,17,,,,,132,2,1,6,,26,110,-76%,FALSE,TRUE,RB3,16%,123%
2023,RB,Ty Chandler,MIN,17,,,,,461,3,21,159,,91,107,-16%,FALSE,TRUE,RB3,16%,123%
2023,RB,Damien Harris,BUF,6,,,,,94,1,2,16,,18,105,-83%,FALSE,TRUE,RB3,16%,123%
2023,RB,Elijah Mitchell,SF,11,,,,,281,2,6,14,,45,105,-57%,FALSE,TRUE,RB3,16%,123%
2023,RB,Kyren Williams,LA,12,,,,,1144,12,32,206,3,241,102,137%,FALSE,TRUE,RB3,16%,123%
2023,RB,Kenneth Gainwell,PHI,16,,,,,364,2,30,183,,82,101,-19%,FALSE,TRUE,RB3,16%,123%
2023,RB,Jeff Wilson,MIA,10,,,,,188,,14,85,,34,99,-65%,FALSE,TRUE,RB3,16%,123%
2023,RB,Joshua Kelley,LAC,17,,,,,405,2,8,32,,60,98,-39%,FALSE,TRUE,RB3,16%,123%
2023,RB,Tyjae Spears,TEN,17,,,,,453,2,52,385,1,128,94,36%,FALSE,TRUE,RB3,16%,123%
2023,RB,Gus Edwards,LAC,17,,,,,810,13,12,180,,183,87,110%,FALSE,TRUE,RB3,16%,123%
2023,RB,Devin Singletary,NYG,17,,,,,898,4,30,193,,148,84,77%,FALSE,TRUE,RB3,16%,123%
2023,RB,Zamir White,LV,17,,,,,451,1,15,98,,68,81,-16%,FALSE,TRUE,RB3,16%,123%
2023,RB,Chuba Hubbard,CAR,17,,,,,902,5,39,233,,163,80,105%,FALSE,TRUE,RB3,16%,123%
2023,RB,Cordarrelle Patterson,PIT,14,,,,,181,,9,38,1,32,75,-57%,FALSE,TRUE,RB3,16%,123%
2023,RB,Tyler Allgeier,ATL,17,,,,,683,4,18,193,1,127,74,71%,FALSE,TRUE,RB3,16%,123%
2023,RB,Rico Dowdle,DAL,16,,,,,361,2,17,144,2,83,72,14%,FALSE,TRUE,RB3,16%,123%
2023,RB,Sean Tucker,TB,11,,,,,23,,2,9,,4,71,-94%,FALSE,TRUE,RB3,16%,123%
2023,RB,Deon Jackson,NYG,1,,,,,,,5,14,,4,71,-95%,FALSE,TRUE,RB3,16%,123%
2023,RB,Zack Moss,CIN,14,,,,,794,5,27,192,2,154,66,133%,FALSE,TRUE,RB3,16%,123%
2023,RB,Pierre Strong,CLE,17,,,,,291,1,5,47,,42,64,-34%,FALSE,TRUE,RB3,16%,123%
2023,RB,Clyde Edwards-Helaire,KC,15,,,,,223,1,17,188,1,62,61,0%,FALSE,TRUE,RB3,16%,123%
2023,RB,Jordan Mason,SF,17,,,,,206,3,3,31,,43,60,-28%,FALSE,TRUE,RB3,16%,123%
2023,RB,Matt Breida,NYG,17,,,,,151,1,17,88,,38,56,-32%,FALSE,TRUE,RB3,16%,123%
2023,RB,Jerome Ford,CLE,17,,,,,813,4,44,319,5,189,56,240%,FALSE,TRUE,RB3,16%,123%
2023,RB,Chase Edmonds,TB,13,,,,,176,,14,81,,33,52,-37%,FALSE,TRUE,RB3,16%,123%
2023,RB,Kendre Miller,NO,8,,,,,156,1,10,117,,38,49,-21%,FALSE,TRUE,RB3,16%,123%
2023,RB,Keaton Mitchell,BAL,8,,,,,396,2,9,93,,65,44,48%,FALSE,TRUE,RB3,16%,123%
2023,RB,Ameer Abdullah,LV,17,,,,,89,,19,131,,32,42,-26%,FALSE,TRUE,RB3,16%,123%
